id,专业名,人数,需求人数,薪资水平,行业情况,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,世界史,550,550,136603.5987,教育培训:27.639999985694885,房地产:10.170000046491623,媒体:6.859999895095825,快消:6.319999694824219,咨询服务:5.9700001031160355,物流运输:4.109999909996986,互联网:3.40999998152256,石油化工:2.5699999183416367,金融投资:1.269999984651804,医疗保健:2.4107808247208595,医药:3.2601971179246902,医疗设备:0.9491479955613613,批发零售:0.9913989342749119,服装:1.2578337453305721,农业:1.7797039821743965,物业管理:0.31338187400251627,汽车:1.5322825871407986,采掘冶炼:1.627468504011631,保险:0.5851853173226118,认证检验:0.25352444499731064,机械重工:2.297946810722351,IT软件:1.4591441489756107,贸易:1.6148889437317848,餐饮娱乐:0.8538090623915195,加工制造:1.567600667476654,电子技术:2.0389828830957413,电信运营:0.631333002820611,娱乐:0.3201388753950596,广告:0.5234758369624615,休闲度假:0.36114747636020184,会计审计:0.14343471266329288,系统集成:0.5543765611946583,电信设备:0.7837087847292423,IT硬件:0.25889596436172724,自动化:0.48661078326404095,家具家电:0.08996209362521768,室内装潢:0.14295350993052125,环保:0.5557641386985779,电力水利:0.6971994880586863,印刷造纸:0.27267932891845703,中介服务:0.12442772276699543,网络游戏:0.07707370677962899,航天航空:0.7178273051977158,办公用品:0.00932120528887026,礼品:0.09294706396758556,生活服务:0.01165636203950271,新能源:0.03177212493028492
2,中医学,19000,19000,148311.3484,教育培训:3.620000183582306,房地产:1.6300000250339508,媒体:0.9919639676809311,快消:5.070000141859055,咨询服务:0.8385599590837955,物流运输:0.8131466805934906,互联网:3.269999846816063,石油化工:1.338999904692173,金融投资:1.291782595217228,医疗保健:30.59000074863434,医药:27.009999752044678,医疗设备:4.859999939799309,批发零售:4.039999842643738,服装:0.03999999898951501,农业:1.1387414298951626,物业管理:0.20051710307598114,汽车:0.9804387576878071,采掘冶炼:1.0413672775030136,保险:0.37442727480083704,认证检验:0.1622191397473216,机械重工:1.4703392051160336,IT软件:0.9336378425359726,贸易:1.0333734564483166,餐饮娱乐:0.5463143810629845,加工制造:1.0030243545770645,电子技术:1.3046486303210258,电信运营:0.40396619588136673,娱乐:0.20483240950852633,广告:0.33494315575808287,休闲度假:0.2310950541868806,会计审计:0.09177441243082285,系统集成:0.3547231899574399,电信设备:0.5014590453356504,IT硬件:0.1656557433307171,自动化:0.3113596932962537,家具家电:0.05756246973760426,室内装潢:0.09146872325800359,环保:0.3556118346750736,电力水利:0.4461050499230623,印刷造纸:0.17447693971917033,中介服务:0.07961434312164783,网络游戏:0.049316248623654246,航天航空:0.45930552296340466,办公用品:0.005964181400486268,礼品:0.05947271711193025,生活服务:0.007458402978954837,新能源:0.020329725521150976
3,中国共产党历史,225,225,134867.0389,教育培训:10.209999978542328,房地产:9.880000352859497,媒体:16.050000488758087,快消:2.5268584489822388,咨询服务:1.375854853540659,物流运输:3.5900000482797623,互联网:4.280000180006027,石油化工:2.1970951929688454,金融投资:2.1194085478782654,医疗保健:2.530992403626442,医药:3.4227408468723297,医疗设备:0.9964773431420326,批发零售:9.960000216960907,服装:2.119999937713146,农业:5.389999970793724,物业管理:1.600000075995922,汽车:1.6086626797914505,采掘冶炼:1.7087101936340332,保险:0.6143225356936455,认证检验:0.2661631675437093,机械重工:2.412424609065056,IT软件:1.531863585114479,贸易:1.6957804560661316,餐饮娱乐:0.896370317786932,加工制造:1.6456764191389084,电子技术:2.1405961364507675,电信运营:0.6628263741731644,娱乐:0.3360464470461011,广告:0.5495422054082155,休闲度假:0.37921471521258354,会计审计:0.1505694119259715,系统集成:0.5820233840495348,电信设备:0.822769571095705,IT硬件:0.27180053293704987,自动化:0.5108636803925037,家具家电:0.09444531169719994,室内装潢:0.150075345300138,环保:0.5834843963384628,电力水利:0.7319452706724405,印刷造纸:0.2862801542505622,中介服务:0.13062329962849617,网络游戏:0.08091686759144068,航天航空:0.7536093238741159,办公用品:0.009785649308469146,礼品:0.09758058004081249,生活服务:0.012237500050105155,新能源:0.03335673827677965
4,中国少数民族语言文学,3750,3750,141015.8158,教育培训:17.100000381469727,房地产:2.8599999845027924,媒体:7.9499997198581696,快消:1.5200000256299973,咨询服务:2.191772684454918,物流运输:2.125631831586361,互联网:3.0300000682473183,石油化工:3.500482439994812,金融投资:3.7700001150369644,医疗保健:4.0319472551345825,医药:5.452552437782288,医疗设备:1.5874680131673813,批发零售:2.6499999687075615,服装:2.1038686856627464,农业:2.9764296486973763,物业管理:0.5241177044808865,汽车:4.230000078678131,采掘冶炼:3.0300000682473183,保险:0.9785914793610573,认证检验:0.4240186419337988,机械重工:3.8430165499448776,IT软件:2.4403326213359833,贸易:2.7022860944271088,餐饮娱乐:1.427981536835432,加工制造:2.621542662382126,电子技术:3.410065174102783,电信运营:1.0559741407632828,娱乐:0.5352437496185303,广告:0.8754030801355839,休闲度假:0.6042458117008209,会计审计:0.23983679711818695,系统集成:0.927228294312954,电信设备:1.3107174076139927,IT硬件:0.43299533426761627,自动化:0.8138338103890419,家具家电:0.1504554762504995,室内装潢:0.2390722744166851,环保:0.9295646101236343,电力水利:1.166023500263691,印刷造纸:0.45608077198266983,中介服务:0.20807816181331873,网络游戏:0.12890859507024288,航天航空:1.2005514465272427,办公用品:0.015588829410262406,礼品:0.1554532442241907,生活服务:0.019495365268085152,新能源:0.05314126028679311
5,中草药栽培与鉴定,850,850,136595.6435,教育培训:4.179999977350235,房地产:2.4000000208616257,媒体:0.8251001127064228,快消:6.360000371932983,咨询服务:0.697374390438199,物流运输:0.6763444282114506,互联网:1.0655212216079235,石油化工:0.9100000374019146,金融投资:1.0742888785898685,医疗保健:5.009999871253967,医药:48.010000586509705,医疗设备:2.3099999874830246,批发零售:2.84000001847744,服装:0.6694186013191938,农业:11.779999732971191,物业管理:0.1667625503614545,汽车:0.8154259063303471,采掘冶炼:0.8661441504955292,保险:0.31136381439864635,认证检验:0.1349144265986979,机械重工:1.22276172041893,IT软件:0.7764630485326052,贸易:0.8598664775490761,餐饮娱乐:0.45435535721480846,加工制造:0.8341136388480663,电子技术:1.0850111953914165,电信运营:0.33599298913031816,娱乐:0.17029709415510297,广告:0.27853213250637054,休闲度假:0.19226770382374525,会计审计:0.07630924228578806,系统集成:0.2950272290036082,电信设备:0.41704336181282997,IT硬件:0.13777033891528845,自动化:0.25894518475979567,家具家电:0.047871770220808685,室内装潢:0.07606748840771616,环保:0.2957712160423398,电力水利:0.37100438494235277,印刷造纸:0.14511694898828864,中介服务:0.06620539934374392,网络游戏:0.04101630765944719,航天航空:0.3819915233179927,办公用品:0.004960028672940098,礼品:0.04946216940879822,生活服务:0.006203047814778984,新能源:0.016908599354792386
6,中药制药,1250,1250,149817.1508,教育培训:3.2900001853704453,房地产:1.394044328480959,媒体:0.3907528705894947,快消:0.17999999690800905,咨询服务:0.279999990016222,物流运输:1.8699999898672104,互联网:0.5046121776103973,石油化工:0.5274736322462559,金融投资:0.5087592173367739,医疗保健:3.2200001180171967,医药:74.93000030517578,医疗设备:2.9999999329447746,批发零售:0.2498752437531948,服装:0.317026162520051,农业:0.4485039971768856,物业管理:0.07897536270320415,汽车:0.38617041427642107,采掘冶炼:0.41019292548298836,保险:2.67999991774559,认证检验:1.119999960064888,机械重工:0.5790750961750746,IT软件:0.36771795712411404,贸易:0.40722773410379887,餐饮娱乐:0.21517423447221518,加工制造:0.3950187936425209,电子技术:0.513840327039361,电信运营:0.1591206411831081,娱乐:0.08064811117947102,广告:0.13190683675929904,休闲度假:0.09105621720664203,会计审计:0.036138202995061874,系统集成:0.13971973676234484,电信设备:0.1975037856027484,IT硬件:0.06524543859995902,自动化:0.1226315158419311,家具家电:0.022671140322927386,室内装潢:0.03602402866818011,环保:0.14007218414917588,电力水利:0.17570052295923233,印刷造纸:0.06872490630485117,中介服务:0.03135344304610044,网络游戏:0.01942459202837199,航天航空:0.18090404337272048,办公用品:0.0023489717932534404,礼品:0.023424364917445928,生活服务:0.002937650242529344,新能源:0.00800762209109962
7,中药学,11000,11000,147105.4632,教育培训:0.5799999926239252,房地产:2.72000003606081,媒体:0.7006764877587557,快消:2.160000056028366,咨询服务:0.5922064650803804,物流运输:0.5743584595620632,互联网:0.419999985024333,石油化工:0.9458491578698158,金融投资:3.4299999475479126,医疗保健:14.159999787807465,医药:51.52000188827515,医疗设备:5.139999836683273,批发零售:6.179999932646751,服装:0.5684780422598124,农业:0.8042238652706146,物业管理:0.1416127779521048,汽车:0.6924564018845558,采掘冶炼:0.7355430163443089,保险:0.26440706569701433,认证检验:0.11456944048404694,机械重工:1.0383544489741325,IT软件:0.6593672558665276,贸易:0.7302520330995321,餐饮娱乐:0.38583700079470873,加工制造:0.7083166390657425,电子技术:0.921383686363697,电信运营:0.28532727155834436,娱乐:0.14460841193795204,广告:0.23652445524930954,休闲度假:0.163282360881567,会计审计:0.06479931762441993,系统集成:0.25053778663277626,电信设备:0.35415084566920996,IT硬件:0.11699394090101123,自动化:0.21989478264003992,家具家电:0.040652352618053555,室内装潢:0.0645956490188837,环保:0.2511702012270689,电力水利:0.3150543896481395,印刷造纸:0.12323396513238549,中介服务:0.056220387341454625,网络游戏:0.03483107138890773,航天航空:0.3243857529014349,办公用品:0.004212010753690265,礼品:0.04200313123874366,生活服务:0.005267617598292418,新能源:0.014358841872308403
8,中药资源与开发,1750,1750,146217.1704,教育培训:2.2600000724196434,房地产:1.4999999664723873,媒体:0.5248486530035734,快消:3.109999932348728,咨询服务:0.4435952752828598,物流运输:0.43023163452744484,互联网:0.6777809467166662,石油化工:0.7085046730935574,金融投资:3.799999877810478,医疗保健:6.610000133514404,医药:65.00999927520752,医疗设备:1.1099999770522118,批发零售:2.5599999353289604,服装:0.42582652531564236,农业:3.709999844431877,物业管理:0.1060756272636354,汽车:0.5186896305531263,采掘冶炼:0.5509700160473585,保险:0.19805440679192543,认证检验:0.08581916335970163,机械重工:0.7777836639434099,IT软件:0.49390317872166634,贸易:0.5470211151987314,餐饮娱乐:0.28901416808366776,加工制造:0.5305665079504251,电子技术:0.6901680026203394,电信运营:0.21372772753238678,娱乐:0.10831743711605668,广告:0.17716899747028947,休闲度假:0.12231124565005302,会计审计:0.04853763384744525,系统集成:0.18766786670312285,电信设备:0.2652790630236268,IT硬件:0.08763514924794436,自动化:0.16471367562189698,家具家电:0.03045088960789144,室内装潢:0.04838565073441714,环保:0.1881418051198125,电力水利:0.23599346168339252,印刷造纸:0.09230974828824401,中介服务:0.04211195628158748,网络游戏:0.026090542087331414,航天航空:0.2429835731163621,办公用品:0.0031550291168969125,礼品:0.031462780316360295,生活服务:0.003945753633161075,新能源:0.010755641415016726
9,中西医临床医学,8500,8500,149287.934,教育培训:1.8699999898672104,房地产:1.8706051632761955,媒体:1.810000091791153,快消:2.580000087618828,咨询服务:0.4431530833244324,物流运输:0.42980844154953957,互联网:0.6771099288016558,石油化工:0.7078101858496666,金融投资:0.419999985024333,医疗保健:47.63000011444092,医药:25.42000114917755,医疗设备:4.450000077486038,批发零售:0.03000000142492354,服装:0.4254072904586792,农业:0.6018113344907761,物业管理:0.10596977081149817,汽车:0.5181743297725916,采掘冶炼:0.5504287779331207,保险:3.7200000137090683,认证检验:0.08573398226872087,机械重工:0.7770073600113392,IT软件:0.4934117663651705,贸易:0.546498317271471,餐饮娱乐:0.28872715774923563,加工制造:0.5300360731780529,电子技术:0.6894811987876892,电信运营:0.21351664327085018,娱乐:0.10820721508935094,广告:0.1769915921613574,休闲度假:0.12219313066452742,会计审计:0.048488625907339156,系统集成:0.18748209113255143,电信设备:0.26501528918743134,IT硬件:0.08754805312491953,自动化:0.1645498676225543,家具家电:0.030420583789236844,室内装潢:0.04833738494198769,环保:0.1879557967185974,电力水利:0.23575867526233196,印刷造纸:0.09221850777976215,中介服务:0.042069770279340446,网络游戏:0.026064689154736698,航天航空:0.24274224415421486,办公用品:0.003151885175611824,礼品:0.031431548995897174,生活服务:0.0039418395317625254,新能源:0.010745002509793267
10,临床医学,82500,82500,144972.7952,教育培训:4.399999976158142,房地产:0.9300000034272671,媒体:0.9401440620422363,快消:6.190000101923943,咨询服务:0.7945805788040161,物流运输:0.7706731092184782,互联网:0.12000000569969416,石油化工:1.269155740737915,金融投资:1.2240340933203697,医疗保健:30.460000038146973,医药:24.619999527931213,医疗设备:10.289999842643738,批发零售:1.3799999840557575,服装:2.7799999341368675,农业:1.079054456204176,物业管理:0.19000511383637786,汽车:0.9291009046137333,采掘冶炼:0.9869551286101341,保险:0.3547617234289646,认证检验:0.15372363850474358,机械重工:1.3931830413639545,IT软件:0.8846983313560486,贸易:0.9799580089747906,餐饮娱乐:0.5176960024982691,加工制造:0.9503573179244995,电子技术:1.2362542562186718,电信运营:0.38284542970359325,娱乐:0.19400950986891985,广告:0.31734590884298086,休闲度假:0.2191075123846531,会计审计:0.08693870040588081,系统集成:0.3361628856509924,电信设备:0.4751788452267647,IT硬件:0.15697594499215484,自动化:0.2950418507680297,家具家电:0.05454472848214209,室内装潢:0.08666955982334912,环保:0.33701309002935886,电力水利:0.422720517963171,印刷造纸:0.16535187605768442,中介服务:0.07543102838099003,网络游戏:0.04673493967857212,航天航空:0.43524359352886677,办公用品:0.005651383617077954,礼品:0.056357705034315586,生活服务:0.007067844126140699,新能源:0.0192662380868569
